original_Debt_type,Term,continuity_lender
Loans Longer-term - Banks in UK,Over a year,UK banks
Loans Longer-term - Building Societies,Over a year,Building societies
Loans Longer-term - Central Government,Over a year,Central Government
Loans Longer-term - Households sector,Over a year,Household sector
Loans Longer-term - Other financial intermediaries,Over a year,Other financial intermediaries
Loans Longer-term - Other Sources,Over a year,Other sources
Loans Longer-term - Private non-financial corporations,Over a year,Private non-financial corporations
Loans Longer-term - Public corporations,Over a year,Public corporations
Loans Longer-term - PWLB  (a),Over a year,PWLB
Loans Longer-term - PWLB (a),Over a year,PWLB
Loans short term - Banks in UK,Under a year,UK banks
Loans short term - Building Societies,Under a year,Building societies
Loans short term - Central Government,Under a year,Central Government
Loans short term - Households sector,Under a year,Household sector
Loans short term - Other financial intermediaries,Under a year,Other financial intermediaries
Loans short term - Other Sources,Under a year,Other sources
Loans short term - Private non-financial corporations,Under a year,Private non-financial corporations
Loans short term - Public corporations,Under a year,Public corporations
Longer Term Loans Local Authorities,Over a year,Local authorities
Securities - Negotiable bonds & commercial paper,Over a year,Negotiable bonds and commercial paper
Securities - Other stock issues,Over a year,Other stock issues
Short Term Loans Local Authorities,Under a year,Local authorities
Loans Local Government ,Unknown,Local authorities
Class of authority,drop,drop
Country,drop,drop
ONS code,drop,drop